SL NO,USER ID,TIME,DATE,STATUS,PUNCH
1,413,07:25:29,2024-05-26 07:25:29,15,255
2,1196,07:25:38,2024-05-26 07:25:38,15,255
3,1206,07:25:42,2024-05-26 07:25:42,15,255
4,1207,07:25:48,2024-05-26 07:25:48,15,255
5,1198,07:25:51,2024-05-26 07:25:51,15,255
6,457,07:25:56,2024-05-26 07:25:56,1,255
7,469,07:26:03,2024-05-26 07:26:03,15,255
8,1209,07:26:11,2024-05-26 07:26:11,1,255
9,474,07:26:12,2024-05-26 07:26:12,15,255
10,1117,07:26:17,2024-05-26 07:26:17,15,255
11,381,07:26:28,2024-05-26 07:26:28,15,255
12,1202,07:26:36,2024-05-26 07:26:36,15,255
13,1113,07:26:43,2024-05-26 07:26:43,15,255
14,485,07:26:46,2024-05-26 07:26:46,15,255
15,360,07:26:50,2024-05-26 07:26:50,15,255
16,407,07:26:59,2024-05-26 07:26:59,1,255
17,432,07:27:05,2024-05-26 07:27:05,15,255
18,453,07:27:07,2024-05-26 07:27:07,15,255
19,359,07:27:12,2024-05-26 07:27:12,15,255
20,362,07:27:17,2024-05-26 07:27:17,15,255
21,397,07:27:25,2024-05-26 07:27:25,15,255
22,440,07:27:35,2024-05-26 07:27:35,15,255
23,364,07:27:37,2024-05-26 07:27:37,15,255
24,446,07:27:43,2024-05-26 07:27:43,15,255
25,369,07:27:51,2024-05-26 07:27:51,15,255
26,1204,07:28:01,2024-05-26 07:28:01,1,255
27,472,07:28:02,2024-05-26 07:28:02,15,255
28,379,07:28:07,2024-05-26 07:28:07,15,255
29,454,07:28:12,2024-05-26 07:28:12,15,255
30,435,07:28:15,2024-05-26 07:28:15,15,255
31,396,07:28:21,2024-05-26 07:28:21,15,255
32,365,07:28:29,2024-05-26 07:28:29,15,255
33,357,07:28:37,2024-05-26 07:28:37,15,255
34,404,07:28:42,2024-05-26 07:28:42,15,255
35,399,07:29:17,2024-05-26 07:29:17,15,255
36,393,07:29:25,2024-05-26 07:29:25,15,255
37,470,07:29:28,2024-05-26 07:29:28,15,255
38,463,07:29:36,2024-05-26 07:29:36,15,255
39,433,07:29:44,2024-05-26 07:29:44,15,255
40,1205,07:29:46,2024-05-26 07:29:46,15,255
41,459,07:29:55,2024-05-26 07:29:55,15,255
42,398,07:29:58,2024-05-26 07:29:58,15,255
43,1114,07:30:01,2024-05-26 07:30:01,15,255
44,444,07:30:05,2024-05-26 07:30:05,15,255
45,451,07:30:10,2024-05-26 07:30:10,15,255
46,375,07:30:29,2024-05-26 07:30:29,1,255
47,376,07:30:44,2024-05-26 07:30:44,15,255
48,367,07:30:50,2024-05-26 07:30:50,15,255
49,473,07:30:53,2024-05-26 07:30:53,15,255
50,167,07:31:11,2024-05-26 07:31:11,4,255
51,361,07:31:20,2024-05-26 07:31:20,15,255
52,389,07:32:27,2024-05-26 07:32:27,15,255
53,500,07:33:05,2024-05-26 07:33:05,15,255
54,477,07:34:45,2024-05-26 07:34:45,15,255
55,391,07:35:05,2024-05-26 07:35:05,15,255
56,462,07:40:03,2024-05-26 07:40:03,15,255
57,452,07:43:06,2024-05-26 07:43:06,15,255
58,458,13:53:45,2024-05-26 13:53:45,1,255
59,1125,15:26:03,2024-05-26 15:26:03,15,255
60,1136,16:09:34,2024-05-26 16:09:34,15,255
61,406,16:15:21,2024-05-26 16:15:21,1,255
62,1123,16:29:52,2024-05-26 16:29:52,15,255
63,469,16:30:29,2024-05-26 16:30:29,15,255
64,440,16:30:44,2024-05-26 16:30:44,15,255
65,393,16:30:48,2024-05-26 16:30:48,15,255
66,1201,16:30:50,2024-05-26 16:30:50,15,255
67,407,16:30:56,2024-05-26 16:30:56,15,255
